KEY_CODE,T000609001,T000609002,T000609003,T000609004
,êlå˚ëçêî,íj,èó,ê¢ë—ëçêî
523800001,236,107,129,70
523800002,297,145,152,70
523800003,188,100,88,60
523800004,259,112,147,96
523800011,342,128,214,59
523800012,272,135,137,74
523800013,62,34,28,23
523800014,206,108,98,56
523800021,174,82,92,51
523800022,628,324,304,227
523800023,107,51,56,31
523800024,197,95,102,72
523800031,592,306,286,193
523800032,678,343,335,244
523800033,429,216,213,142
523800034,106,45,61,44
523800041,569,271,298,215
523800042,138,72,66,38
523800043,495,256,239,181
523800044,31,17,14,10
523800051,64,33,31,22
523800052,14,6,8,3
523800053,5,2,3,2
523800054,7,4,3,2
523800061,46,24,22,16
523800062,21,12,9,6
523800072,1,0,1,1
523800073,310,155,155,83
523800074,6,2,4,2
523800081,43,28,15,5
523800082,41,18,23,8
523800083,26,13,13,9
523800084,44,16,28,3
523800091,210,101,109,61
523800092,54,25,29,13
523800093,190,102,88,62
523800094,88,44,44,25
523800101,372,178,194,126
523800102,146,67,79,44
523800103,12,6,6,4
523800104,9,4,5,2
523800111,68,30,38,18
523800112,11,7,4,3
523800122,152,78,74,40
523800124,191,91,100,58
523800131,166,79,87,70
523800132,466,231,235,130
523800133,164,80,84,50
523800134,214,106,108,58
523800141,350,173,177,111
523800142,246,122,124,62
523800143,51,21,30,14
523800144,225,110,115,59
523800151,160,87,73,56
523800152,90,44,46,22
523800153,587,287,300,217
523800162,73,35,38,21
523800163,24,12,12,8
523800164,264,107,157,110
523800171,98,49,49,31
523800172,167,82,85,38
523800173,7,6,1,7
523800174,310,157,153,94
523800181,421,214,207,125
523800182,71,37,34,19
523800183,143,71,72,45
523800184,38,20,18,10
523800191,180,85,95,50
523800192,101,49,52,24
523800193,58,26,32,18
523800194,26,11,15,7
523800201,3,1,2,1
523800202,24,10,14,6
523800204,55,28,27,12
523800222,86,40,46,15
523800224,50,24,26,12
523800231,58,29,29,15
523800232,87,40,47,22
523800233,79,25,54,8
523800234,30,17,13,6
523800241,105,43,62,21
523800242,138,74,64,57
523800243,68,30,38,19
523800244,68,36,32,25
523800251,210,104,106,61
523800252,31,19,12,8
523800253,182,96,86,78
523800254,116,62,54,30
523800261,81,45,36,19
523800262,14,8,6,4
523800263,211,111,100,59
523800264,87,44,43,21
523800271,240,117,123,79
523800272,690,346,344,212
523800273,130,67,63,37
523800274,44,21,23,14
523800281,21,8,13,8
523800282,103,49,54,29
523800283,135,58,77,36
523800284,146,69,77,40
523800291,4,2,2,1
523800292,66,36,30,19
523800293,5,3,2,3
523800294,30,13,17,6
523800302,37,15,22,8
523800304,23,11,12,4
523800322,67,34,33,20
523800331,68,35,33,20
523800332,95,47,48,30
523800333,11,7,4,3
523800334,137,66,71,37
523800341,229,116,113,56
523800342,28,16,12,7
523800343,49,23,26,16
523800344,210,109,101,65
523800351,4,1,3,1
523800352,312,157,155,99
523800353,145,71,74,39
523800354,15,10,5,3
523800361,452,233,219,146
523800362,183,89,94,49
523800363,266,136,130,86
523800364,443,231,212,147
523800371,442,213,229,171
523800372,550,297,253,186
523800373,750,394,356,277
523800374,531,276,255,184
523800381,157,84,73,43
523800382,110,57,53,31
523800383,112,56,56,34
523800384,88,43,45,25
523800391,24,11,13,6
523800392,7,4,3,2
523800393,129,68,61,35
523800394,43,19,24,9
523800411,7,4,3,2
523800422,9,4,5,2
523800424,26,14,12,8
523800431,276,137,139,73
523800432,541,267,274,166
523800433,249,120,129,68
523800434,101,48,53,32
523800442,114,51,63,27
523800443,27,14,13,5
523800444,114,59,55,35
523800451,120,65,55,41
523800452,72,32,40,19
523800453,233,123,110,89
523800454,67,35,32,20
523800461,80,40,40,26
523800462,483,239,244,144
523800463,207,100,107,61
523800464,495,230,265,162
523800471,820,458,362,367
523800472,262,128,134,91
523800473,201,99,102,66
523800474,184,92,92,43
523800481,153,46,107,25
523800482,182,95,87,44
523800483,109,58,51,20
523800484,4,2,2,1
523800491,345,170,175,119
523800492,311,151,160,94
523800493,104,52,52,28
523800494,123,60,63,38
523800521,177,93,84,48
523800522,52,28,24,16
523800523,56,24,32,15
523800524,137,61,76,34
523800531,389,173,216,113
523800532,1,1,0,1
523800534,128,64,64,41
523800541,93,47,46,23
523800542,208,106,102,57
523800543,248,128,120,75
523800544,62,28,34,26
523800551,44,25,19,14
523800552,18,9,9,8
523800553,124,59,65,36
523800554,44,22,22,9
523800561,24,11,13,8
523800562,287,155,132,108
523800563,112,56,56,38
523800564,94,49,45,30
523800571,111,59,52,43
523800572,199,96,103,59
523800574,28,13,15,10
523800581,26,13,13,5
523800582,12,8,4,3
523800591,33,16,17,11
523800592,92,47,45,25
523800593,4,2,2,1
523800594,134,76,58,30
523800612,38,19,19,12
523800614,47,22,25,12
523800621,167,80,87,41
523800622,43,21,22,14
523800623,114,55,59,27
523800624,42,16,26,11
523800631,23,9,14,6
523800632,212,94,118,66
523800633,2,1,1,1
523800634,115,53,62,33
523800641,480,225,255,175
523800642,122,57,65,33
523800643,473,222,251,161
523800644,71,37,34,17
523800651,50,23,27,13
523800652,52,25,27,16
523800653,453,222,231,129
523800654,195,91,104,57
523800661,327,168,159,105
523800662,116,65,51,30
523800663,65,33,32,22
523800664,284,146,138,88
523800672,166,81,85,38
523800673,351,172,179,101
523800674,151,80,71,46
523800681,52,27,25,12
523800683,110,55,55,29
523800684,118,55,63,27
523800692,98,55,43,26
523800694,13,9,4,3
523800712,135,71,64,36
523800721,7,6,1,7
523800722,4,2,2,1
523800731,14,7,7,3
523800732,102,51,51,36
523800733,52,26,26,15
523800734,23,11,12,6
523800741,3,1,2,1
523800744,14,7,7,4
523800751,411,203,208,120
523800752,146,73,73,43
523800753,49,23,26,18
523800754,91,44,47,28
523800761,72,40,32,22
523800762,68,31,37,15
523800763,84,44,40,19
523800764,7,3,4,2
523800771,291,144,147,99
523800772,233,118,115,67
523800773,411,218,193,146
523800774,70,32,38,20
523800781,122,59,63,33
523800783,20,11,9,4
523800784,28,17,11,6
523800792,33,15,18,9
523800793,17,9,8,5
523800821,6,3,3,2
523800824,108,55,53,27
523800833,65,29,36,18
523800834,214,104,110,61
523800842,32,17,15,6
523800843,67,34,33,18
523800844,309,153,156,93
523800851,17,9,8,3
523800852,136,67,69,38
523800853,229,113,116,73
523800854,26,11,15,9
523800861,201,89,112,64
523800862,286,136,150,74
523800863,138,72,66,42
523800864,425,236,189,191
523800871,348,188,160,142
