KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000847001,T000847002,T000847003,T000847004,T000847005,T000847006,T000847007,T000847008,T000847009,T000847010,T000847011,T000847012,T000847013,T000847014,T000847015,T000847016,T000847017,T000847018,T000847019,T000847020,T000847021,T000847022,T000847023,T000847024,T000847025,T000847026,T000847027,T000847028,T000847029,T000847030,T000847031,T000847032,T000847033,T000847034,T000847035,T000847036,T000847037,T000847038,T000847039,T000847040,T000847041
,,,,Å@êlå˚ëçêî,Å@êlå˚ëçêîÅ@íj,Å@êlå˚ëçêîÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇQêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇRêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇSêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇTêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇUêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—ÇÃàÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃàÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@çÇóÓíPêgÇÃàÍî ê¢ë—êî,Å@çÇóÓïvïwÇÃÇ›ÇÃàÍî ê¢ë—êî
523800001,0,,,219,104,115,26,14,12,193,90,103,118,59,59,192,89,103,75,31,44,41,11,30,0,0,0,67,67,6,18,18,13,5,4,3,61,31,30,5,52,0,4,10
523800002,0,,,215,108,107,28,14,14,187,94,93,125,66,59,175,89,86,62,28,34,28,13,15,2,1,1,62,62,8,17,9,13,7,2,6,54,36,18,8,37,0,4,5
523800003,0,,,196,104,92,32,15,17,164,89,75,103,58,45,155,83,72,61,31,30,33,12,21,4,2,2,65,65,14,14,14,12,6,2,3,51,32,19,7,39,0,9,4
523800004,0,,,285,139,146,37,15,22,248,124,124,182,95,87,230,115,115,66,29,37,38,13,25,6,4,2,103,103,27,19,29,17,4,5,2,75,56,19,13,47,2,6,8
523800011,0,,,344,126,218,23,15,8,321,111,210,111,56,55,313,108,205,210,55,155,181,41,140,2,0,2,58,55,8,14,8,9,8,4,4,46,26,20,6,34,1,2,6
523800012,0,,,249,122,127,32,15,17,217,107,110,137,71,66,212,106,106,80,36,44,42,20,22,1,1,0,71,71,6,15,17,21,3,3,6,65,38,27,8,51,0,4,9
523800013,0,,,71,31,40,16,8,8,55,23,32,35,16,19,53,23,30,20,7,13,9,2,7,8,2,6,26,26,10,4,4,2,4,1,1,16,11,5,3,15,2,4,2
523800014,0,,,166,79,87,21,11,10,145,68,77,91,41,50,139,67,72,54,27,27,25,14,11,0,0,0,53,53,6,18,8,10,6,5,0,47,33,14,4,36,0,3,9
523800021,0,,,140,72,68,12,5,7,128,67,61,78,44,34,125,64,61,50,23,27,28,12,16,2,0,2,45,45,5,10,18,6,2,2,2,40,27,13,4,32,0,5,4
523800022,0,,,662,336,326,121,70,51,541,266,275,387,196,191,519,258,261,154,70,84,66,25,41,36,19,17,220,220,34,56,50,51,18,7,4,185,148,37,34,101,2,19,23
523800023,0,,,95,45,50,8,5,3,87,40,47,59,27,32,83,38,45,28,13,15,10,2,8,1,0,1,35,35,7,11,4,11,2,0,0,28,21,7,3,20,0,4,3
523800024,0,,,205,113,92,21,15,6,184,98,86,136,74,62,179,98,81,48,24,24,20,10,10,22,18,4,96,96,42,23,16,10,2,2,1,53,44,9,6,30,23,5,13
523800031,0,,,534,273,261,85,47,38,449,226,223,295,157,138,435,217,218,154,69,85,77,36,41,22,8,14,183,183,30,60,35,29,15,10,4,151,114,37,21,95,3,8,29
523800032,0,,,648,325,323,78,46,32,570,279,291,389,200,189,545,267,278,181,79,102,76,36,40,39,22,17,239,239,51,78,49,26,24,7,4,186,146,40,26,115,13,10,32
523800033,0,,,430,192,238,56,28,28,374,164,210,261,111,150,357,155,202,113,53,60,65,26,39,49,1,48,182,182,70,48,23,21,12,5,3,112,83,29,11,74,41,11,21
523800034,0,,,215,92,123,51,19,32,164,73,91,120,59,61,151,64,87,44,14,30,30,7,23,36,8,28,73,72,26,7,11,22,6,0,0,45,40,5,22,12,16,1,3
