KEY_CODE,T000609001,T000609002,T000609003,T000609004
,êlå˚ëçêî,íj,èó,ê¢ë—ëçêî
533800503,3,1,2,1
533800601,6,3,3,3
533800602,1,0,1,1
533800611,7,4,3,2
533800624,1,1,0,1
533802341,7,2,5,5
533802443,4,2,2,3
533802582,1,1,0,1
533802651,5,1,4,3
533802682,1,1,0,1
533802752,44,21,23,23
533802754,45,25,20,18
533802854,26,13,13,15
533802863,17,9,8,10
533802874,3,1,2,2
533802893,23,11,12,12
533802894,15,6,9,6
533802962,8,4,4,4
533802964,9,6,3,5
533802971,4,2,2,2
533802972,16,6,10,7
533802974,1,0,1,1
533802982,27,15,12,16
533802983,12,5,7,5
533802984,12,7,5,5
533802991,67,38,29,31
533802993,35,17,18,19
533803012,66,36,30,23
533803014,42,21,21,17
533803032,12,5,7,4
533803034,18,10,8,10
533803041,16,7,9,4
533803044,14,8,6,4
533803052,54,28,26,16
533803053,78,38,40,29
533803054,33,15,18,9
533803061,93,48,45,26
533803063,5,3,2,3
533803064,7,4,3,2
533803071,4,1,3,2
533803122,23,13,10,10
533803124,55,20,35,19
533803132,2,1,1,1
533803134,35,17,18,12
533803142,3,1,2,1
533803151,14,7,7,5
533803152,40,19,21,13
533803154,52,22,30,22
533803161,11,4,7,4
533803231,150,82,68,51
533803232,44,22,22,17
533803234,48,27,21,20
533803242,5,2,3,1
533803251,41,27,14,12
533803252,44,22,22,15
533803263,141,69,72,52
533803332,68,33,35,21
533803334,90,38,52,15
533803341,1,1,0,1
533803343,27,13,14,7
533803352,64,30,34,20
533803354,170,83,87,60
533803361,157,75,82,58
533803363,292,143,149,115
533803364,3,1,2,1
533803381,1,1,0,1
533803383,8,3,5,4
533803434,35,19,16,18
533803441,157,70,87,70
533803442,155,67,88,59
533803443,150,75,75,66
533803444,293,143,150,103
533803451,77,32,45,34
533803452,126,28,98,6
533803453,126,67,59,50
533803454,72,37,35,30
533803461,68,39,29,32
533803463,87,40,47,33
533803464,4,1,3,2
533803504,2,1,1,1
533803532,169,80,89,55
533803533,4,2,2,1
533803534,131,63,68,32
533803541,107,55,52,45
533803542,15,10,5,6
533803543,77,58,19,24
533803544,55,25,30,16
533803552,207,95,112,73
533803554,217,105,112,67
533803561,136,70,66,47
533803562,18,11,7,7
533803563,57,30,27,17
533803582,6,4,2,2
533803601,20,7,13,8
533803622,3,2,1,1
533803632,11,4,7,6
533803641,6,2,4,1
533803642,12,9,3,4
533803651,15,6,9,7
533803652,39,18,21,11
533803654,4,2,2,2
533803661,30,14,16,14
533803663,119,52,67,44
533803703,64,33,31,28
533803721,3,1,2,1
533803742,16,6,10,7
533803744,7,4,3,2
533803751,9,5,4,3
533803761,65,35,30,20
533803781,3,1,2,2
533803844,2,1,1,1
533803851,59,38,21,28
533803853,110,49,61,42
533803863,8,2,6,3
533803864,24,15,9,15
533803884,1,0,1,1
533803892,13,6,7,8
533803903,2,1,1,1
533803904,37,19,18,16
533803921,5,3,2,4
533803942,14,5,9,6
533803951,355,162,193,124
533803952,33,15,18,14
533803953,157,66,91,67
533803954,36,15,21,10
533803962,68,37,31,24
533803964,13,5,8,5
533803981,2,1,1,1
533803982,3,2,1,2
533803983,3,2,1,2
533803984,22,10,12,7
533804043,16,9,7,16
533804052,31,14,17,9
533804054,1,1,0,1
533804062,11,8,3,3
533804063,68,34,34,28
533804071,17,11,6,7
533804072,34,20,14,14
533804073,1,0,1,1
533804074,16,9,7,7
533804081,6,2,4,4
533804092,52,46,6,6
533804152,16,10,6,7
533804153,3,2,1,1
533804154,32,18,14,12
533804161,1,0,1,1
533804171,3,2,1,1
533804172,41,19,22,12
533804174,3,0,3,2
533804181,14,8,6,4
533804183,72,36,36,14
533804184,11,7,4,2
533804243,14,9,5,6
533804244,28,10,18,13
533804251,15,8,7,4
533804252,34,15,19,11
533804253,24,11,13,9
533804254,32,16,16,10
533804263,14,8,6,4
533804264,4,2,2,2
533804271,27,14,13,9
533804272,12,5,7,3
533804273,22,12,10,8
533804274,3,1,2,1
533804281,8,4,4,2
533804282,38,23,15,11
533804284,16,7,9,6
533804291,16,9,7,4
533804342,39,22,17,11
533804344,104,56,48,33
533804351,59,30,29,20
533804352,45,25,20,15
533804353,114,51,63,41
533804354,106,50,56,28
533804361,17,7,10,6
533804362,14,6,8,7
