KEY_CODE,OBJ_ID,River,WaterDepth,1995,2000,2005,2010,2015,Area,Menseki,Anbun,1995_A,2000_A,2005_A,2010_A,2015_A,Up_95-15,Cat_1
"533915943","5579",多摩川,"11","3070","3331","3551","3176","3430",262152.610,47129.305,0.180,552.600,599.580,639.180,571.680,617.400,11.726,"1"
"533915943","5579",多摩川,"11","3070","3331","3551","3176","3430",262152.610,901.259,0.003,9.210,9.993,10.653,9.528,10.290,11.726,"1"
"533915944","5580",多摩川,"11","4535","4486","4651","4465","4267",262152.610,16395.314,0.063,285.705,282.618,293.013,281.295,268.821,-5.910,"0"
"533915944","5580",多摩川,"11","4535","4486","4651","4465","4267",262152.610,31854.865,0.122,553.270,547.292,567.422,544.730,520.574,-5.910,"0"
"533915944","5580",多摩川,"11","4535","4486","4651","4465","4267",262152.610,16995.912,0.065,294.775,291.590,302.315,290.225,277.355,-5.910,"0"
"533915953","5583",多摩川,"11","1319","1373","1447","1288","1221",262152.610,120366.828,0.459,605.421,630.207,664.173,591.192,560.439,-7.430,"0"
"533925041","8417",多摩川,"11","4378","4737","4815","4962","4850",262139.254,14365.984,0.055,240.790,260.535,264.825,272.910,266.750,10.781,"1"
"533925041","8417",多摩川,"11","4378","4737","4815","4962","4850",262139.254,16386.403,0.063,275.814,298.431,303.345,312.606,305.550,10.781,"1"
"533925041","8417",多摩川,"11","4378","4737","4815","4962","4850",262139.254,2013.228,0.008,35.024,37.896,38.520,39.696,38.800,10.781,"1"
"533925042","8418",多摩川,"11","6133","5948","5839","5645","5661",262139.254,14361.102,0.055,337.315,327.140,321.145,310.475,311.355,-7.696,"0"
"533925042","8418",多摩川,"11","6133","5948","5839","5645","5661",262139.254,85851.586,0.328,2011.624,1950.944,1915.192,1851.560,1856.808,-7.696,"0"
"533925043","8419",多摩川,"11","2501","2442","3285","3823","4805",262125.896,2017.380,0.008,20.008,19.536,26.280,30.584,38.440,92.123,"1"
"533925044","8420",多摩川,"11","3715","3613","3797","3754","3907",262125.896,32765.683,0.125,464.375,451.625,474.625,469.250,488.375,5.168,"1"
"533925044","8420",多摩川,"11","3715","3613","3797","3754","3907",262125.896,2017.017,0.008,29.720,28.904,30.376,30.032,31.256,5.168,"1"
"533925051","8421",多摩川,"11","6547","6313","6112","5703","5597",262139.254,186142.877,0.710,4648.370,4482.230,4339.520,4049.130,3973.870,-14.510,"0"
"533925052","8422",多摩川,"11","3019","3034","3101","2938","2689",262139.254,30933.890,0.118,356.242,358.012,365.918,346.684,317.302,-10.931,"0"
"533925052","8422",多摩川,"11","3019","3034","3101","2938","2689",262139.254,95972.976,0.366,1104.954,1110.444,1134.966,1075.308,984.174,-10.931,"0"
"533925053","8423",多摩川,"11","3718","3864","4717","4921","3866",262125.896,85670.154,0.327,1215.786,1263.528,1542.459,1609.167,1264.182,3.981,"1"
