KEY_CODE,OBJ_ID,River,WaterDepth,1995,2000,2005,2010,2015,Area,Menseki,Anbun,1995_A,2000_A,2005_A,2010_A,2015_A,Up_95-15,Cat_1
"533925164","8468",多摩川,"14","1613","1257","1377","3113","4648",262099.177,819.323,0.003,4.839,3.771,4.131,9.339,13.944,188.159,"2"
"533925171","8469",多摩川,"14","372","267","346","311","299",262112.537,16382.111,0.063,23.436,16.821,21.798,19.593,18.837,-19.624,"0"
"533925173","8471",多摩川,"14","4717","5534","5660","5690","5538",262099.177,143272.828,0.547,2580.199,3027.098,3096.020,3112.430,3029.286,17.405,"1"
"533925174","8472",多摩川,"14","1944","1547","1656","1707","1779",262099.177,105909.414,0.404,785.376,624.988,669.024,689.628,718.716,-8.488,"0"
"533925252","8502",多摩川,"14","4661","4497","4583","4648","4432",262085.815,17286.921,0.066,307.626,296.802,302.478,306.768,292.512,-4.913,"0"
"533925261","8505",多摩川,"14","4552","4353","4177","4180","4086",262085.815,15442.938,0.059,268.568,256.827,246.443,246.620,241.074,-10.237,"0"
"533925262","8506",多摩川,"14","5400","4983","5127","5096","5082",262085.815,98004.896,0.374,2019.600,1863.642,1917.498,1905.904,1900.668,-5.889,"0"
"533925264","8508",多摩川,"14","5425","5053","4831","5220","5675",262072.452,104213.478,0.398,2159.150,2011.094,1922.738,2077.560,2258.650,4.608,"1"
"533925271","8509",多摩川,"14","6034","5968","6197","6090","5899",262085.815,260083.467,0.992,5985.728,5920.256,6147.424,6041.280,5851.808,-2.237,"0"
"533925272","8510",多摩川,"14","4616","4226","4079","4108","4003",262085.815,162869.292,0.621,2866.536,2624.346,2533.059,2551.068,2485.863,-13.280,"0"
"533925273","8511",多摩川,"14","5334","5322","5264","5253","5083",262072.452,169842.269,0.648,3456.432,3448.656,3411.072,3403.944,3293.784,-4.706,"0"
"533925274","8512",多摩川,"14","6025","6355","6481","6315","5837",262072.452,21318.250,0.081,488.025,514.755,524.961,511.515,472.797,-3.120,"0"
"533925281","8513",多摩川,"14","1014","972","1025","1145","1106",262085.815,13545.296,0.052,52.728,50.544,53.300,59.540,57.512,9.073,"1"
"533925283","8515",多摩川,"14","4712","4526","4922","4783","4748",262072.452,17312.119,0.066,310.992,298.716,324.852,315.678,313.368,0.764,"1"
"533925353","8543",多摩川,"14","4076","4880","6521","7704","8130",262045.721,30800.497,0.118,480.968,575.840,769.478,909.072,959.340,99.460,"1"
"533925354","8544",多摩川,"14","871","665","354","761","642",262045.721,820.650,0.003,2.613,1.995,1.062,2.283,1.926,-26.292,"0"
"533925363","8547",多摩川,"14","2511","2704","3031","3549","4008",262045.721,13591.283,0.052,130.572,140.608,157.612,184.548,208.416,59.618,"1"
"533925451","8581",多摩川,"14","6065","5951","5871","6423","7004",262032.354,14428.523,0.055,333.575,327.305,322.905,353.265,385.220,15.482,"1"
"533925451","8581",多摩川,"14","6065","5951","5871","6423","7004",262032.354,1959.990,0.007,42.455,41.657,41.097,44.961,49.028,15.482,"1"
"533925452","8582",多摩川,"14","3778","4008","3938","5369","5520",262032.354,16377.100,0.063,238.014,252.504,248.094,338.247,347.760,46.109,"1"
"533925452","8582",多摩川,"14","3778","4008","3938","5369","5520",262032.354,1044.813,0.004,15.112,16.032,15.752,21.476,22.080,46.109,"1"
"533925453","8583",多摩川,"14","5975","6191","6512","6648","6960",262018.985,28853.869,0.110,657.250,681.010,716.320,731.280,765.600,16.485,"1"
"533925453","8583",多摩川,"14","5975","6191","6512","6648","6960",262018.985,18324.634,0.070,418.250,433.370,455.840,465.360,487.200,16.485,"1"
"533925461","8585",多摩川,"14","1980","2751","2792","3334","3817",262032.354,115571.586,0.441,873.180,1213.191,1231.272,1470.294,1683.297,92.778,"1"
"533925462","8586",多摩川,"14","1990","1855","2393","2592","2870",262032.354,938.390,0.004,7.960,7.420,9.572,10.368,11.480,44.221,"1"
"533925463","8587",多摩川,"14","598","657","618","567","547",262018.985,31741.889,0.121,72.358,79.497,74.778,68.607,66.187,-8.528,"0"
"533925464","8588",多摩川,"14","1915","1798","1998","1889","2083",262018.985,31811.153,0.121,231.715,217.558,241.758,228.569,252.043,8.773,"1"
"533925464","8588",多摩川,"14","1915","1798","1998","1889","2083",262018.985,30787.825,0.118,225.970,212.164,235.764,222.902,245.794,8.773,"1"
"533925471","8589",多摩川,"14","443","466","518","558","2512",262032.354,14412.507,0.055,24.365,25.630,28.490,30.690,138.160,467.043,"2"
"533925471","8589",多摩川,"14","443","466","518","558","2512",262032.354,15443.743,0.059,26.137,27.494,30.562,32.922,148.208,467.043,"2"
"533925473","8591",多摩川,"14","322","252","312","276","298",262018.985,1964.176,0.007,2.254,1.764,2.184,1.932,2.086,-7.453,"0"
"533925474","8592",多摩川,"14","9","12","13","1","3",262018.985,954.066,0.004,0.036,0.048,0.052,0.004,0.012,-66.667,"0"
"533925483","8595",多摩川,"14","1972","1952","1909","1925","1896",262018.985,15421.990,0.059,116.348,115.168,112.631,113.575,111.864,-3.854,"0"
"533925493","8599",多摩川,"14","734","917","901","980","881",262018.985,32762.596,0.125,91.750,114.625,112.625,122.500,110.125,20.027,"1"
"533925542","8618",多摩川,"14","3713","4658","4628","4869","5452",262005.615,2765.984,0.011,40.843,51.238,50.908,53.559,59.972,46.835,"1"
"533925544","8620",多摩川,"14","4030","3879","4352","4350","4813",261992.244,933.033,0.004,16.120,15.516,17.408,17.400,19.252,19.429,"1"
"533925551","8621",多摩川,"14","3686","3509","3784","3822","3845",262005.615,115702.854,0.442,1629.212,1550.978,1672.528,1689.324,1699.490,4.314,"1"
"533925551","8621",多摩川,"14","3686","3509","3784","3822","3845",262005.615,16178.601,0.062,228.532,217.558,234.608,236.964,238.390,4.314,"1"
"533925552","8622",多摩川,"14","2110","1681","1388","2112","2139",262005.615,43478.243,0.166,350.260,279.046,230.408,350.592,355.074,1.374,"1"
"533925553","8623",多摩川,"14","3519","3339","3162","3705","3623",261992.244,152107.405,0.581,2044.539,1939.959,1837.122,2152.605,2104.963,2.955,"1"
"533925554","8624",多摩川,"14","2887","2749","2688","3086","3653",261992.244,112844.634,0.431,1244.297,1184.819,1158.528,1330.066,1574.443,26.533,"1"
"533925561","8625",多摩川,"14","3132","3030","3128","3469","3630",262005.615,16375.429,0.063,197.316,190.890,197.064,218.547,228.690,15.900,"1"
"533925561","8625",多摩川,"14","3132","3030","3128","3469","3630",262005.615,1953.600,0.007,21.924,21.210,21.896,24.283,25.410,15.900,"1"
"533925561","8625",多摩川,"14","3132","3030","3128","3469","3630",262005.615,66465.804,0.254,795.528,769.620,794.512,881.126,922.020,15.900,"1"
"533925562","8626",多摩川,"14","4762","5338","5990","6259","6333",262005.615,147207.566,0.562,2676.244,2999.956,3366.380,3517.558,3559.146,32.990,"1"
"533925564","8628",多摩川,"14","4875","4781","4844","5019","5332",261992.244,163758.976,0.625,3046.875,2988.125,3027.500,3136.875,3332.500,9.374,"1"
"533925571","8629",多摩川,"14","4693","4962","4898","4852","4885",262005.615,221454.709,0.845,3965.585,4192.890,4138.810,4099.940,4127.825,4.091,"1"
"533925572","8630",多摩川,"14","4666","4410","4067","3891","3956",262005.615,30791.493,0.118,550.588,520.380,479.906,459.138,466.808,-15.216,"0"
"533925572","8630",多摩川,"14","4666","4410","4067","3891","3956",262005.615,44449.141,0.170,793.220,749.700,691.390,661.470,672.520,-15.216,"0"
"533925573","8631",多摩川,"14","5490","5401","5287","5040","5220",261992.244,87757.923,0.335,1839.150,1809.335,1771.145,1688.400,1748.700,-4.918,"0"
"533925574","8632",多摩川,"14","6225","6206","7380","7259","7175",261992.244,1943.024,0.007,43.575,43.442,51.660,50.813,50.225,15.261,"1"
"533925574","8632",多摩川,"14","6225","6206","7380","7259","7175",261992.244,964.476,0.004,24.900,24.824,29.520,29.036,28.700,15.261,"1"
"533925574","8632",多摩川,"14","6225","6206","7380","7259","7175",261992.244,1831.107,0.007,43.575,43.442,51.660,50.813,50.225,15.261,"1"
"533925581","8633",多摩川,"14","803","961","1207","1092","1309",262005.615,29682.215,0.113,90.739,108.593,136.391,123.396,147.917,63.014,"1"
"533925582","8634",多摩川,"14","350","527","562","514","326",262005.615,13561.546,0.052,18.200,27.404,29.224,26.728,16.952,-6.857,"0"
"533925583","8635",多摩川,"14","4757","4453","4897","5364","5551",261992.244,70485.863,0.269,1279.633,1197.857,1317.293,1442.916,1493.219,16.691,"1"
"533925583","8635",多摩川,"14","4757","4453","4897","5364","5551",261992.244,15420.810,0.059,280.663,262.727,288.923,316.476,327.509,16.691,"1"
"533925584","8636",多摩川,"14","4588","5411","5361","5190","5495",261992.244,17250.674,0.066,302.808,357.126,353.826,342.540,362.670,19.769,"1"
"533925634","8656",多摩川,"14","3511","3181","3150","3216","3019",261965.496,48927.392,0.187,656.557,594.847,589.050,601.392,564.553,-14.013,"0"
"533925641","8657",多摩川,"14","4664","4546","5129","5323","6091",261978.871,16188.114,0.062,289.168,281.852,317.998,330.026,377.642,30.596,"1"
"533925642","8658",多摩川,"14","6279","5532","5774","5683","5466",261978.871,16337.099,0.062,389.298,342.984,357.988,352.346,338.892,-12.948,"0"
"533925642","8658",多摩川,"14","6279","5532","5774","5683","5466",261978.871,29108.038,0.111,696.969,614.052,640.914,630.813,606.726,-12.948,"0"
"533925643","8659",多摩川,"14","4034","3990","3898","4236","4708",261965.496,54724.207,0.209,843.106,833.910,814.682,885.324,983.972,16.708,"1"
"533925643","8659",多摩川,"14","4034","3990","3898","4236","4708",261965.496,59919.939,0.229,923.786,913.710,892.642,970.044,1078.132,16.708,"1"
"533925644","8660",多摩川,"14","3108","3291","3280","3161","3096",261965.496,61798.782,0.236,733.488,776.676,774.080,745.996,730.656,-0.386,"0"
"533925651","8661",多摩川,"14","2673","2529","2485","2430","2784",261978.871,110.125,0.000,0.000,0.000,0.000,0.000,0.000,,"3"
"533925652","8662",多摩川,"14","1561","1172","1063","1748","1207",261978.871,49092.676,0.187,291.907,219.164,198.781,326.876,225.709,-22.678,"0"
"533925652","8662",多摩川,"14","1561","1172","1063","1748","1207",261978.871,1823.615,0.007,10.927,8.204,7.441,12.236,8.449,-22.678,"0"
"533925661","8665",多摩川,"14","1377","1462","1505","1413","1483",261978.871,33675.476,0.129,177.633,188.598,194.145,182.277,191.307,7.698,"1"
"533925661","8665",多摩川,"14","1377","1462","1505","1413","1483",261978.871,14385.007,0.055,75.735,80.410,82.775,77.715,81.565,7.698,"1"
"533925661","8665",多摩川,"14","1377","1462","1505","1413","1483",261978.871,60.285,0.000,0.000,0.000,0.000,0.000,0.000,,"3"
"533925662","8666",多摩川,"14","6762","6272","6174","6107","5835",261978.871,15440.985,0.059,398.958,370.048,364.266,360.313,344.265,-13.709,"0"
"533925662","8666",多摩川,"14","6762","6272","6174","6107","5835",261978.871,73215.336,0.279,1886.598,1749.888,1722.546,1703.853,1627.965,-13.709,"0"
"533925663","8667",多摩川,"14","5750","6727","6825","6937","7129",261965.496,1938.531,0.007,40.250,47.089,47.775,48.559,49.903,23.983,"1"
"533925663","8667",多摩川,"14","5750","6727","6825","6937","7129",261965.496,32750.877,0.125,718.750,840.875,853.125,867.125,891.125,23.983,"1"
"533925663","8667",多摩川,"14","5750","6727","6825","6937","7129",261965.496,15988.981,0.061,350.750,410.347,416.325,423.157,434.869,23.983,"1"
"533925663","8667",多摩川,"14","5750","6727","6825","6937","7129",261965.496,368.437,0.001,5.750,6.727,6.825,6.937,7.129,23.983,"1"
"533925671","8669",多摩川,"14","5678","5474","5395","5339","5470",261978.871,30846.001,0.118,670.004,645.932,636.610,630.002,645.460,-3.663,"0"
"533925732","8694",多摩川,"14","5033","5645","5629","6003","6172",261952.120,20219.515,0.077,387.541,434.665,433.433,462.231,475.244,22.631,"1"
"533925733","8695",多摩川,"14","4411","4218","4690","4725","4527",261938.743,1843.810,0.007,30.877,29.526,32.830,33.075,31.689,2.630,"1"
"533925734","8696",多摩川,"14","4748","4309","5149","5285","5337",261938.743,158980.143,0.607,2882.036,2615.563,3125.443,3207.995,3239.559,12.405,"1"
"533925741","8697",多摩川,"14","3394","3201","3227","3204","3157",261952.120,1030.106,0.004,13.576,12.804,12.908,12.816,12.628,-6.983,"0"
"533925741","8697",多摩川,"14","3394","3201","3227","3204","3157",261952.120,100110.108,0.382,1296.508,1222.782,1232.714,1223.928,1205.974,-6.983,"0"
