KEY_CODE,OBJ_ID,River,WaterDepth,1995,2000,2005,2010,2015,Area,Menseki,Anbun,1995_A,2000_A,2005_A,2010_A,2015_A,Up_95-15,Cat_1
"533925351","8541",多摩川,"15","1938","2126","2360","2641","2910",262059.087,16378.562,0.062,120.156,131.812,146.320,163.742,180.420,50.155,"1"
"533925461","8585",多摩川,"15","1980","2751","2792","3334","3817",262032.354,6593.694,0.025,49.500,68.775,69.800,83.350,95.425,92.778,"1"
"533925461","8585",多摩川,"15","1980","2751","2792","3334","3817",262032.354,42538.829,0.162,320.760,445.662,452.304,540.108,618.354,92.778,"1"
"533925463","8587",多摩川,"15","598","657","618","567","547",262018.985,14431.781,0.055,32.890,36.135,33.990,31.185,30.085,-8.528,"0"
"533925554","8624",多摩川,"15","2887","2749","2688","3086","3653",261992.244,16377.424,0.063,181.881,173.187,169.344,194.418,230.139,26.533,"1"
"533925554","8624",多摩川,"15","2887","2749","2688","3086","3653",261992.244,76051.709,0.290,837.230,797.210,779.520,894.940,1059.370,26.533,"1"
"533925561","8625",多摩川,"15","3132","3030","3128","3469","3630",262005.615,34684.870,0.132,413.424,399.960,412.896,457.908,479.160,15.900,"1"
"533925561","8625",多摩川,"15","3132","3030","3128","3469","3630",262005.615,16375.220,0.062,194.184,187.860,193.936,215.078,225.060,15.900,"1"
"533925644","8660",多摩川,"15","3108","3291","3280","3161","3096",261965.496,14455.017,0.055,170.940,181.005,180.400,173.855,170.280,-0.386,"0"
"533925652","8662",多摩川,"15","1561","1172","1063","1748","1207",261978.871,38562.301,0.147,229.467,172.284,156.261,256.956,177.429,-22.678,"0"
"533925734","8696",多摩川,"15","4748","4309","5149","5285","5337",261938.743,917.075,0.004,18.992,17.236,20.596,21.140,21.348,12.405,"1"
"533925741","8697",多摩川,"15","3394","3201","3227","3204","3157",261952.120,16364.230,0.062,210.428,198.462,200.074,198.648,195.734,-6.983,"0"
"533925742","8698",多摩川,"15","1095","1109","972","793","473",261952.120,1927.970,0.007,7.665,7.763,6.804,5.551,3.311,-56.804,"0"
"533925743","8699",多摩川,"15","846","645","661","573","537",261938.743,15451.346,0.059,49.914,38.055,38.999,33.807,31.683,-36.525,"0"
"533925832","8734",多摩川,"15","2988","2976","2852","3250","3648",261925.365,16365.383,0.062,185.256,184.512,176.824,201.500,226.176,22.088,"1"
"533925841","8737",多摩川,"15","250","86","2233","2678","2673",261925.365,16365.383,0.062,15.500,5.332,138.446,166.036,165.726,969.200,"2"
"533925841","8737",多摩川,"15","250","86","2233","2678","2673",261925.365,14474.973,0.055,13.750,4.730,122.815,147.290,147.015,969.200,"2"
"533925841","8737",多摩川,"15","250","86","2233","2678","2673",261925.365,14474.691,0.055,13.750,4.730,122.815,147.290,147.015,969.200,"2"
"533925843","8739",多摩川,"15","4449","4864","4957","4852","5224",261911.985,1879.314,0.007,31.143,34.048,34.699,33.964,36.568,17.420,"1"
"533925843","8739",多摩川,"15","4449","4864","4957","4852","5224",261911.985,50999.020,0.195,867.555,948.480,966.615,946.140,1018.680,17.420,"1"
"533932792","10318",多摩川,"15","1617","1509","1373","1364","1425",261684.312,2618.957,0.010,16.170,15.090,13.730,13.640,14.250,-11.874,"0"
